,age_int,MTTF,ET
0,0.0005,227049.78200117615,2.836579319999146
1,0.002,224697.0933372766,1.853066536001279
2,0.0038,229539.9804220474,1.3597410969960038
3,0.0055,221939.8649581522,1.2958281100000022
4,0.0105,221626.4783334412,1.2256699639983708
5,0.0205,231853.26582400742,1.2316480469962698
6,0.0305,225228.84918843105,5.938492911001958
7,0.0405,225094.03822701905,3.005495568999322
8,0.0505,213493.0416903985,3.19695581200358
9,0.0605,218831.54028263452,2.8631332090008073
10,0.0705,213389.21685138787,3.1723193079960765
11,0.0805,209326.1619266813,3.1692061810026644
12,0.0905,233847.86576027115,3.141017677000491
