,pow,MTTF,ET
0,0.0001,242889.2451348286,6.92312828800641
1,0.0002,233136.5805596836,3.967007516002923
2,0.00030000000000000003,229693.55537005156,2.9641044630043325
3,0.0004,221023.74482687187,2.4303428849962074
4,0.0005,206773.20901908138,2.599778140996932
5,0.0006000000000000001,227215.855313895,2.332267313999182
6,0.0007,216404.04265836783,2.138365844002692
7,0.0008,215448.5836548032,1.972216018999461
8,0.0009000000000000001,229787.02288164216,1.8792570639998303
9,0.001,237453.32812867736,2.083190777004347
10,0.0011,230446.67116901453,1.9136112209962448
11,0.0012000000000000001,227493.22627376823,2.4358208370031207
12,0.0013000000000000002,198437.91219440606,1.7492627850006102
13,0.0014,246930.70786781565,1.6907682119999663
14,0.0015,229834.14332331214,1.791456508995907
15,0.0016,219651.51959967724,2.0234159210012876
16,0.0017000000000000001,240079.86450693553,1.6976119749961072
17,0.0018000000000000002,224317.8239617696,1.6513489579956513
18,0.0019,230129.1953371308,1.902359271000023
