,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5
0,121402.3943253746,259205.2266128483,237022.22134054973,77828.00011856343,89220.79899232028,164348.7889574763
1,183198.7321872502,123211.13739482505,103254.24771411635,39852.057180386866,98346.00498319206,135483.72830694017
2,102297.60939910651,45452.72462514745,162500.3949601257,59127.15742062967,127791.97566139586,199701.75535488484
3,89434.39114236219,94800.60464305834,332467.82662503456,73882.98269126617,97652.67293165234,115319.59700060828
4,30480.376006439546,43297.51514425055,102284.0853137351,295784.8413765257,166784.59254631508,27113.82950274555
5,77558.02508023243,160712.85750483343,279052.9298267151,297803.6933500433,5055.71743153085,61159.83767810501
6,128938.50839845218,218212.18361171524,62335.852078054224,46231.694993854224,104678.17638556458,114214.60890021882
7,176435.35241040084,143193.89459018724,256210.39687022503,54978.92349655357,27957.48381615664,34603.04008795915
8,236859.80841516095,167573.16050115516,103818.36923401104,196984.756936792,89182.04013823268,130666.34748763297
9,123178.20423584872,86233.08741440569,58769.39996338856,105193.54159999118,52210.54898827828,139215.1438779351
10,65069.53964906264,69186.45553830669,174812.89604127294,135543.73133312375,106269.59260888703,80931.10841106351
11,69971.6587842543,42391.56073269706,212457.58525044585,120859.40732847889,195679.14120678956,116090.15483395524
12,138823.66697616942,170989.437319903,84559.1941700243,111478.80617432679,83195.94773924968,59317.740429386
13,47374.12464236534,48771.75347093137,304487.55907038774,80806.7061219208,99835.92750750874,68707.83875899942
14,34361.883504881276,99510.5425656486,53076.39813888536,197194.16238491805,214240.06161378475,104701.32782595619
15,159293.80912146947,82650.28529478832,66391.61989620292,132050.00219135487,20763.795066630682,52996.731494327214
16,159754.06101782774,107274.04556762571,289044.3517328949,79431.8268840571,199886.97833349055,95817.98026897301
17,59216.37741110732,115326.30239413583,48438.536962982515,271634.16505031235,41313.21194698595,98162.15835355439
18,66394.4424520238,133538.7183879554,102884.91256003726,148008.8044101338,215422.54024795198,99351.41669826143
19,202520.76960661414,167516.86941017554,217734.22546169805,168284.3331957461,271969.87945135275,53180.83716852428
20,68457.18122528141,184600.10533627888,120033.1471820895,165042.6985898026,110155.8968160142,67285.92012734167
21,52772.44765803086,113597.52613297389,171499.3415027776,107310.8741667671,136124.8847959848,219739.68789714685
22,112838.7802808661,114203.3399989554,162674.92427859374,157372.9017151273,143544.61694333237,71377.66198552224
23,187125.1040246126,96087.5135878689,177257.75733143065,204916.93266481563,112503.77592053685,82838.33940595471
24,73396.39269019825,90122.96562208947,57099.756826885015,173092.0385254565,98371.30192111904,56729.080740155834
25,171376.84861743543,124312.93322983575,51582.790709915134,75884.93479458541,28187.322030310144,38048.61088329361
26,31895.141725996433,185681.77497965592,239003.27091650182,54375.695506114826,270959.2372785919,54205.08690724654
27,89274.56735548019,151945.25477483153,64076.37823128188,85713.06236389739,136523.18147112042,76658.3974541829
28,185917.82235731112,113070.27799580187,150450.98618675713,141850.7049385693,173941.16697160085,26631.284033216027
29,96637.24623784212,214902.45304331605,151170.78008015634,194102.49134109716,86201.46302461375,209426.56432842565
30,176227.78709238878,87738.1060283758,91113.2525499604,112311.99990027875,125888.84892332461,176506.57298010492
31,93892.43528240024,134351.4097947722,243707.79036102458,67598.03741054202,162915.44532413216,47946.06913800948
32,81282.65532791751,218521.04059815267,74773.96997565644,112893.78653579997,59239.49858261512,199421.92359421964
33,104739.50046870326,204439.233188575,137990.3927030369,8333.756438494973,140545.9663730093,80507.40946463808
34,192016.11297546033,68065.90486662353,146552.6267284007,240939.77143427034,159240.5860511817,191574.7172670971
35,84012.77676530398,130869.64081386373,74487.59097882158,181850.33127909442,212897.31380065015,176411.23523806792
36,177471.45009148365,97041.72488912345,64469.10043473214,64894.60363371343,170209.28692074778,41112.78379896646
37,83390.71691497022,134260.7636123858,178963.5447453836,68742.27998880597,92798.44347468225,171106.18535450083
38,180278.51632734007,99999.57646479823,208436.5689610452,101363.36559515227,232680.18534430864,91385.60158084234
39,52792.0530111036,104799.34619702959,105839.44312654262,119365.04895132242,118977.1648016003,172108.18392124615
40,63570.23789892128,222837.32747596398,93948.17425984742,127791.77683968419,75418.80562860644,170738.7437759221
41,102165.63680879114,108823.97277854048,228435.57849021108,26350.24462675836,235173.62429337186,145879.89391500156
42,68547.45784845305,84484.27255493875,46695.87472808773,70905.48425424678,71197.19537854726,90357.62005653055
43,223662.85115381278,66468.645921103,88020.82868503987,213413.21447008842,210898.10549182535,131717.2685807698
44,263970.1207609049,198532.15236135427,242574.1480854552,205963.85450962852,86556.23609900549,12543.071338196483
45,255729.2703464936,237715.55781210327,138690.19528738648,116254.07726261932,231049.34741153644,132660.9360667305
46,83580.39727637902,101869.46039355782,54705.07144695646,179693.13139631087,127827.64976193827,68545.1821926217
47,49418.7334489702,160983.64866917234,85914.71139802532,103916.94678838323,89837.94179115184,117906.90608021578
48,87446.26398792784,36584.06386609604,104014.57986607144,25317.01808986995,178155.64673048392,206041.07655916942
49,106723.10079132514,100473.93917166322,157229.05307283063,174973.0309248154,129391.94939929344,105172.13399890148
50,54224.42814487525,136214.66847012512,106994.79871358337,159792.58060206444,160836.07014698826,150740.0630339923
51,218541.02100783173,146006.2710109023,142987.43319679255,99047.49226943543,152221.2138057741,73926.43007650625
52,111761.7185518563,161317.01366215496,116579.95221047457,177086.07047266097,160199.33831681497,143389.808172448
53,122012.52044895076,117103.90256740715,125051.92035888605,177063.51971662667,36764.50290966829,33241.3637769741
54,51555.992000341925,162172.15265852894,13208.164373111907,126169.12046213083,211674.822219986,140177.67419936255
55,17421.693336294527,77685.60180961147,36143.47247625126,153831.73423575255,155087.40868328427,335576.5045966079
56,78312.95691597436,91735.869823963,126967.51386410122,60066.58556738041,93685.27837751339,112511.5863844129
57,143855.86536397916,221208.89287521574,94356.34078905135,123431.24152690342,78120.68759700986,65723.08862874989
58,180335.6232125664,39447.27696893126,94027.61841153046,139731.84795580606,106748.09471552868,191594.42788690887
59,5234.678275714403,156433.04136131055,110055.39148279099,75467.06727761439,180625.498584008,105674.19541178257
60,72130.2641027566,122586.59829031982,76340.89311094981,148861.3455616522,141436.14112472534,105475.38164173737
61,198823.9016604497,105699.32307272329,70304.45886961158,223373.24161398783,54967.72012087012,103162.42103291354
62,224580.77775599054,77989.97653811639,134068.66919961202,207366.59196421792,25616.545168461817,68261.89484913954
63,180571.09652898373,98339.55062703788,101300.42625833835,130527.94210069402,127801.73297712323,127898.25450000522
64,149424.32937393917,214335.18142747873,28593.787152020566,84521.57933506237,148103.25369022565,60628.19492752782
65,148241.78466813467,119817.40573495664,22697.44321440148,219960.1677373469,92063.63944006756,132715.0229211935
66,150529.60682522706,171862.98345848982,97662.1655133415,104107.70262875366,171825.45509260354,169269.49995668468
67,47916.97598643279,113074.90714488736,139723.3933147533,108911.87611528335,45136.982921641036,65045.69855606859
68,74221.67928251441,162382.90031232705,65262.43062915382,215797.28799824519,151133.50546723732,169447.11454746133
69,201772.11480140954,86247.84294499809,319353.70060553576,315005.7430792903,63502.60038899032,179953.24908285018
70,101347.13833242304,90329.68422637816,53830.81890443823,172136.91482367812,145656.25993449858,115763.14919661648
71,264746.6637915911,172427.74370852349,140331.52476181698,111246.68833952837,105367.31460351909,187144.1840944682
72,124784.26596515528,109666.63478476222,249084.73095891488,83355.56713169672,65831.17480040231,135019.31555892926
73,87977.68476280473,87951.18320441074,232804.68250707205,106133.61664390468,24971.257438835717,223823.45298874122
74,128336.66195190887,243577.315048258,145770.38835187553,134263.75270173396,185740.14041831158,187422.96410098634
75,156147.50779093968,132391.37451569157,194125.10183005835,82328.62646394028,47996.45773680934,98682.66670081408
76,17331.241635128277,138309.1041534306,77772.11294797025,232858.2684625624,177854.92119325523,96128.5327086483
77,113095.55591990375,115319.12059922278,157299.6841379809,1942.2788381199287,15069.28324777291,176298.4718298751
78,119504.91085395249,208123.22069641683,94704.49170708215,66424.34046877015,173477.08743521414,123391.24991211298
79,46363.89974974925,179631.87474002386,93543.81862272865,73965.22377558147,88753.2736732848,168983.9216551042
80,124735.3565308841,144997.37316523018,162381.83285666798,143805.43818625066,31553.806376218832,86339.13754839583
81,299646.30267083424,64679.37501146547,259157.41654480438,80232.9074277163,156805.96988469866,118238.4141858142
82,151263.92708700668,145794.67336078655,177445.65066617605,67403.957261238,248305.92923910508,121651.98850510956
83,114067.37832038659,62690.69995811224,175454.1628333128,241859.1935342695,70560.1749375198,28850.78386142443
84,115954.296327317,56997.66794983387,66814.69884323147,152800.64126180642,37354.94312244095,91572.52353461256
85,147075.48046748183,164353.95586767505,51840.64304403117,189185.03232250933,104485.42666894868,189678.1567763397
86,142723.32245959787,42497.863752427664,91086.2239578922,276499.56804457377,62426.40881475208,79874.00431480489
87,40378.08783980813,150500.820254535,118206.47642229364,176672.6080611878,35837.68013833123,55445.624145112684
88,154520.97823744707,94313.71675266333,184572.42862980798,218901.00431553577,58391.4041147819,46479.56086845757
89,220356.31336960313,86681.14173254592,60202.993055071005,160706.1061652173,80152.045633623,163034.93997706866
90,79754.65112960059,171907.14709191566,123336.38281151664,32450.084000831626,124371.55195410231,110491.31127262776
91,207956.53808954504,88360.62699586652,77166.90305653092,87868.40037930396,205159.09881726516,200384.6968110495
92,86099.02175148048,78627.29213097553,132599.85230249964,155187.6230931848,255268.0373461001,76413.41470951223
93,200230.38496918647,168875.93658655285,87206.62595232639,77010.94486159217,90310.23271952411,67733.95837761112
94,74950.03895884071,97220.85467605559,9328.943082372974,73959.86092141373,205916.84587806716,92716.80547690345
95,70204.38366716208,60988.652608436496,202119.76232704625,105634.53360079741,44113.68472458496,111627.48946194795
96,160430.42140981584,177598.67210068236,161814.26607213108,153825.46383392517,87127.8644491728,140036.72369347495
97,202863.1828995175,221325.8888557403,35777.02643061781,267473.8520394722,105956.66194691704,56747.054485182205
98,154907.34561059548,129204.43173722042,70673.12463507819,48042.984187009526,81968.38405372751,25150.46394709889
99,77409.76446874165,56728.33425126928,99277.47188275272,29075.01002142117,101293.94801702438,66769.84122873719
